Date,Week,Website GMV,Meta Ads Spends,Google Ads Spends,Website Ads Spends,Meta ROAS,Google Ads ROAS,Avg ROAS,Amazon GMV,Amazon Ads Spends,Amazon ads ROAS,BlinkIT GMV,BlinkIT Ads Spend,BlinkIT ROAS,FirstCry GMV,The Moms Store GMV,Total GMV,Growth-Degrowth,Dabble GMV Plan,Dabble GMV Act,Dabble GMV Ach,Dabble+3P GMV Plan,Dabble+3P GMV Act,Dabble+3P GMV Ach,,Google Tracking,Date,Amount,Track,Note
01-Jun,Week 1,"35,160.12","₹21,577","₹3,521","₹25,099",1.4,2,2,66745,"11,691",3.3,"14,024",1909,4.68,"6,041.00",0,"121,970.12",,"1,092,660.00","781,405.21",71.51%,"4,308,176.00","3,644,368.98",84.59%,,,03-06-26,25000,Paid,If Below 6000 to be remind
02-Jun,Week 1,"20,330.07","₹21,902",₹998,"₹22,900",1.0,3.04,2,73660.8,"12,895",2.4,"7,087",2554,1.72,"2,147.00",0,"103,224.87",-15.37%,,,,,,,,,12-06-26,25000,Paid,
03-Jun,Week 1,"23,463.41","₹16,160","₹1,046","₹17,207",1.4,0,1,79542.5,"12,082",3.6,"12,228",1991,2.63,"9,636.00",0,"124,869.91",20.97%,,,,,,,,,29-06-26,15000,Paid,
04-Jun,Week 1,"27,421.31","₹8,669","₹4,223","₹12,891",2.6,1,2,60985,"13,508",1.8,"17,418",2448,3.90,"8,838.00",0,"114,661.81",-8.17%,,,,,,,,,,,,
05-Jun,Week 1,"20,406.92","₹13,813","₹7,303","₹21,117",1.4,0.27,1,70614.3,"10,878",3.0,"7,686",2774,1.64,"5,791.00",0,"104,498.22",-8.86%,,,,,,,,,,,,
06-Jun,Week 1,"20,940.08","₹11,381","₹5,990","₹17,372",0.9,0.78,1,79514.4,"11,149",4.0,"15,622",2680,3.18,"9,185.00",0,"125,261.48",19.87%,,,,,,,,,,,,
07-Jun,Week 1,"27,617.00","₹13,765","₹4,732","₹18,498",1.9,0.8,1,62558,"11,857",2.5,15173,3508,3.21,"5,841.00",0,"111,189.00",-11.23%,,,,,,,,,,,,
08-Jun,Week 2,"15,622.96","₹14,058","₹2,631","₹16,689",0.9,0.59,1,81734.4,"9,878",3.8,10981,2680,2.51,"5,492.00",0,"113,830.36",2.38%,,,,,,,,,,,,
09-Jun,Week 2,"32,486.91","₹16,385","₹3,024","₹19,409",1.5,1.7,2,63923.3,"11,091",3.3,11979,2638,2.09,"8,238.00",0,"116,627.21",2.46%,,,,,,,,,,,,
10-Jun,Week 2,"18,438.04","₹16,290","₹2,310","₹18,601",1.0,1.01,1,77175.6,"10,943",3.2,8384,3887,1.61,"8,588.00",0,"112,585.64",-3.47%,,,,,,,,,,,,
